property_id,suburb,address,Postcode,source_url,sale_price,sale_date,prev_sale_price,prev_sale_date,property_type,bedrooms,bathrooms,car_spaces,Pool,land_size_m2,building_size_m2,year_built,auction_type,Storeys,renovated,listing_description,Realtor,flag_notes,Unnamed: 23,Unnamed: 24,sale_year,sale_month,property_age,years_since_prev_sale,price_growth_pct,price_per_m2,desc_word_count,desc_length,luxury_word_count
EP021,Epping,"3 Kent Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-148946340,3245000.0,2025-09-27,,,House,4,2,3.0,0.0,860.0,317.0,1921.0,No,2,0.0,"Double Brick c1921, character bungalow with 20.12m approx frontage",,Stone Real Estate - Beecroft / Castle Hill / Epping,,,2025,9,104.0,,,3773.2558139534885,9,66,0
EP022,Epping,"17 York Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-149086968,3005800.0,2025-09-15,1465000.0,2014-11-22,House,5,3,2.0,1.0,809.0,245.0,1950.0,No,1,0.0,Prestigious 6-Bedroom Family Haven on Spacious Level Block in Epping,Listing title says '6-Bedroom' but header icon and Property Value section both show 5 bedrooms; Property Value section attributes the sale to 'McConnell Bourn' whereas the listing displays 'Raine & Horne Carlingford/Epping' as the agency,Raine & Horne Carlingford/Epping,,,2025,9,75.0,10.8145106091718,105.1740614334471,3715.451174289246,10,68,1
EP023,Epping,"1A Hillcrest Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-148840448,2588000.0,2025-09-12,,,House,5,2,2.0,0.0,1104.0,242.0,,No,2,0.0,"Privacy on 1104sqm - in Epping West, Cheltenham Girls, Epping Boys zones",,Stone Real Estate - Beecroft / Castle Hill / Epping,,,2025,9,29.0,,,2344.2028985507245,12,72,0
EP024,Epping,"1/34 Kandy Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-148628132,1610000.0,2025-08-30,605000.0,2007-10-09,Townhouse,3,2,1.0,0.0,232.0,232.0,,No,2,0.0,Hidden Gem - Sunlit Townhouse Close to Everything,,McGrath Epping,,,2025,8,29.0,17.89185489390828,166.11570247933884,6939.6551724137935,8,49,0
EP025,Epping,"5/16 Hillside Crescent, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-148877240,1550000.0,2025-08-22,800000.0,2013-03-01,Villa,3,2,2.0,0.0,3035.0,289.0,,No,2,0.0,Spacious villa in tranquil surrounds overlooking reserve,"Land size (3,035m2) reflects the whole complex, not the individual villa lot; building size 289m2 is the individual unit",McGrath Epping,,,2025,8,29.0,12.476386036960985,93.75,510.70840197693576,7,56,0
EP026,Epping,"1/2A Hillside Crescent, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-148581932,1655000.0,2025-08-16,611100.0,2004-12-15,Villa,3,2,2.0,0.0,263.0,228.0,,No,2,0.0,Effortless Living in a Prime Walk-to-Rail Location,,Ray White Horizon Group - North,,,2025,8,29.0,20.66803559206023,170.82310587465227,6292.775665399239,7,50,0
EP027,Epping,"1A Hermington Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-147746600,2903888.0,2025-07-29,872000.0,2008-03-15,House,4,2,2.0,0.0,400.0,168.0,2005.0,No,2,0.0,Immaculate Sunlit Family Home in Superb Locale,"Land size (400m2) and year built (2005) sourced from Property Value section, not stated in listing itself",Uniland Real Estate | Epping - Castle Hill,,,2025,7,20.0,17.371663244353183,233.01467889908255,7259.72,7,46,0
EP028,Epping,"22 Kent Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-148375432,3318888.0,2025-07-11,1855000.0,2015-02-10,House,4,2,2.0,1.0,765.1,281.0,1920.0,No,2,0.0,Enduring elegance meets modern family living in a prestigious address,,Uniland Real Estate | Epping - Castle Hill,,,2025,7,105.0,10.414784394250514,78.91579514824798,4337.848647235655,10,69,1
EP029,Epping,"18 Magnolia Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-148220684,3912000.0,2025-06-29,1210000.0,2014-02-20,House,5,3,2.0,0.0,834.7,305.0,2016.0,No,2,1.0,Elegant. Expansive. Exclusive. Your Dream Home Awaits,,Uniland Real Estate | Epping - Castle Hill,,,2025,6,9.0,11.353867214236825,223.30578512396696,4686.713789385408,7,53,1
EP030,Epping,"16 Grandview Parade, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-148139680,4000000.0,2025-06-25,875000.0,2002-03-27,House,5,2,4.0,1.0,1201.0,394.0,,No,2,0.0,Grand full-brick home on sprawling 1201sqm block,,The Agency - Epping,,,2025,6,29.0,23.247091033538673,357.14285714285717,3330.5578684429643,7,48,1
